d_px_torso_lift_joint + 1.0*d_py_arm_1_joint + 0.014*d_phiz_arm_1_joint + 0.014*d_phiy_arm_2_joint,0.011862823104912,9.80361892565566E-05,0.83%,0.525,,0.32%
d_py_torso_lift_joint - 1.0*d_px_arm_1_joint - 0.15505*d_phiz_arm_1_joint - 0.15505*d_phiy_arm_2_joint,0.218092262112533,0.000203078321974,0.09%,0.30314,,0.37%
d_pz_torso_lift_joint + 1.0*d_pz_arm_1_joint + 1.0*d_py_arm_2_joint,-0.333323845737698,0.001973116381457,0.59%,-0.025799,,6.83%
d_phix_torso_lift_joint,0.027281733360467,8.5981641145825E-05,0.32%,0.0082919,,15.01%
d_phiy_torso_lift_joint,0.001104000361731,0.000108488516061,9.83%,-0.0033533,,37.19%
d_phiz_torso_lift_joint + 1.0*d_phiz_arm_1_joint + 1.0*d_phiy_arm_2_joint,-0.007974596307145,0.001957216112576,24.54%,-0.022572,,7.73%
d_phix_arm_1_joint,-0.004432742285655,0.000128760364463,2.90%,-0.00018467,-2300.36%,673.63%
d_phiy_arm_1_joint,-0.023633506350753,9.57141508722464E-05,0.40%,-0.00093534,-2426.73%,133.00%
d_px_arm_2_joint + 0.0165*d_phiy_arm_2_joint,0.002211937590164,5.34808624057399E-05,2.42%,-6.8682E-05,3320.55%,1811.27%
d_pz_arm_2_joint + 0.125*d_phiy_arm_2_joint - 1.0*d_py_arm_3_joint,0.000248701531759,0.001972867869108,793.27%,3.9687E-05,-526.66%,3134.59%
d_phix_arm_2_joint,0.000833600024666,9.81625601142817E-05,11.78%,-0.01189,107.01%,0.95%
d_phiz_arm_2_joint - 1.0*d_phiy_arm_3_joint,-0.00059827806101,0.00195628633001,326.99%,8.2961E-05,821.16%,1499.51%
d_px_arm_3_joint + 0.0895*d_phiy_arm_3_joint,0.016246243744319,0.001209748014344,7.45%,0.003851,-321.87%,1.40%
d_pz_arm_3_joint + 1.0*d_px_arm_4_joint,-0.00428269065074,0.000252808502644,5.90%,-0.00010435,-4004.16%,1192.20%
d_phix_arm_3_joint,0.003543702248466,0.000106256627704,3.00%,-0.0011631,404.68%,8.10%
d_phiz_arm_3_joint + 1.0*d_phix_arm_4_joint,-0.013041308414399,9.5196886998081E-05,0.73%,-0.039722,67.17%,3.08%
d_py_arm_4_joint - 0.027*d_phix_arm_4_joint,-0.017481072112959,0.001229182884946,7.03%,0.0016258,1175.23%,4.17%
d_pz_arm_4_joint + 0.02*d_phix_arm_4_joint + 1.0*d_px_arm_5_joint,0.01689037529661,0.001213183376621,7.18%,-0.002408,801.43%,6.90%
d_phiy_arm_4_joint,0.006309016883265,0.001388917141489,22.01%,0.012688,50.28%,5.93%
d_phiz_arm_4_joint + 1.0*d_phix_arm_5_joint,-0.014597234197858,0.000144040511593,0.99%,-0.014565,-0.22%,0.82%
d_py_arm_5_joint + 0.162*d_phix_arm_5_joint,-0.005497637988709,0.000236038575479,4.29%,-0.0034706,-58.41%,24.43%
d_pz_arm_5_joint - 0.02*d_phix_arm_5_joint + 1.0*d_px_arm_6_joint,0.020019742709663,0.001232707946945,6.16%,-0.0011002,1919.65%,3.79%
d_phiy_arm_5_joint,0.031196822445083,0.000209047997405,0.67%,-0.001968,1685.20%,44.63%
d_phiz_arm_5_joint + 1.0*d_phix_arm_6_joint,-0.007387731650513,0.001389586342477,18.81%,-0.015318,51.77%,4.77%
d_py_arm_6_joint,-0.040454548184779,0.000837533740558,2.07%,-0.0025433,-1490.63%,5.96%
d_pz_arm_6_joint + 1.0*d_py_arm_7_joint,0.014018168759775,5.24745330950445E-05,0.37%,0.0034328,-308.36%,24.64%
d_phiy_arm_6_joint,-0.001644712122879,0.000353055061175,21.47%,0.0021908,175.07%,8.00%
d_phiz_arm_6_joint + 1.0*d_phiy_arm_7_joint,-0.044860654014425,0.00026844025505,0.60%,0.0013784,3354.55%,63.74%
d_px_arm_7_joint,-0.02035738219911,0.001571206574792,7.72%,0.0030678,763.58%,0.83%
d_pz_arm_7_joint,0.043410120357291,0.000823650684317,1.90%,0.0059869,-625.09%,1.10%
d_phix_arm_7_joint,0.013232208631262,0.000481581718592,3.64%,-0.028585,146.29%,3.09%
d_phiz_arm_7_joint,0.027319995329989,0.000230726530559,0.84%,-0.02858,195.59%,3.09%
pEEx_1,-0.000739111569003,3.4053308715842E-05,4.61%,-0.0017396,57.51%,1.45%
pEEy_1,0.073266767008423,3.22876019148011E-05,0.04%,0.071702,-2.18%,0.03%
pEEz_1,0.136503960312102,0.001565680800311,1.15%,0.1224,-11.52%,0.05%
pEEx_2,-0.002842159042009,2.57853651776547E-05,0.91%,-0.00047849,-493.99%,3.68%
pEEy_2,-0.083948671456147,2.98774737518424E-05,0.04%,-0.085614,1.95%,0.03%
pEEz_2,0.15423376913467,0.001572487611433,1.02%,0.13812,-11.67%,0.05%
pEEx_3,-0.00281423124246,2.84993098489266E-05,1.01%,0.0025111,212.07%,1.14%
pEEy_3,-0.051036278509389,3.15201983503423E-05,0.06%,0.053453,195.48%,0.04%
pEEz_3,0.245965699648414,0.001570986428714,0.64%,0.22655,-8.57%,0.03%
pEEx_4,-0.002814230792663,2.84993098649907E-05,1.01%,0.00040472,795.35%,5.09%
pEEy_4,-0.051036278521538,3.15201983272186E-05,0.06%,-0.053814,5.16%,0.04%
pEEz_4,0.24596569965432,0.001570986428675,0.64%,0.23034,-6.78%,0.03%
